
RANK	CHARACTER	MAX ADDITIONAL	BASE VALUE	TOTAL
1	Jigglypuff	0.08	0.05	0.13
2-4	Wario	0.08	0.04	0.12
2-4	Peach	0.08	0.04	0.12
2-4	Daisy	0.08	0.04	0.12
5	Palutena	0.105	0.01	0.115
6-7	Rosalina	0.1	0.01	0.11
6-7	Mega Man	0.1	0.01	0.11
8	Squirtle	0.095	0.01	0.105
9-13	Mr. Game & Watch	0.03	0.07	0.1
9-13	Pichu	0.09	0.01	0.1
9-13	Falco	0.09	0.01	0.1
9-13	Pikachu	0.09	0.01	0.1
9-13	Ness	0.09	0.01	0.1
14	Yoshi	0.068	0.03	0.098
15-19	Kirby	0.065	0.03	0.095
15-19	Zero Suit Samus	0.085	0.01	0.095
15-19	Bayonetta	0.085	0.01	0.095
15-19	Lucas	0.085	0.01	0.095
15-19	Ivysaur	0.085	0.01	0.095
20	Nana	0.084	0.0105	0.0945
21-29	Wolf	0.08	0.01	0.09
21-29	Fox	0.08	0.01	0.09
21-29	Sheik	0.08	0.01	0.09
21-29	Wii Fit Trainer	0.08	0.01	0.09
21-29	Lucario	0.08	0.01	0.09
21-29	Popo	0.08	0.01	0.09
21-29	Toon Link	0.08	0.01	0.09
21-29	Samus	0.05	0.04	0.09
21-29	Dark Samus	0.05	0.04	0.09
30	R.O.B.	0.045	0.04	0.085
31-40	Greninja	0.07	0.01	0.08
31-40	Bowser Jr	0.07	0.01	0.08
31-40	Robin	0.07	0.01	0.08
31-40	Inkling	0.07	0.01	0.08
31-40	Mario	0.07	0.01	0.08
31-40	Duck Hunt	0.07	0.01	0.08
31-40	Marth	0.07	0.01	0.08
31-40	Lucina	0.07	0.01	0.08
31-40	Olimar	0.07	0.01	0.08
31-40	PAC-MAN	0.07	0.01	0.08
41-45	Captain Falcon	0.065	0.01	0.075
41-45	Meta Knight	0.065	0.01	0.075
41-45	Pit	0.065	0.01	0.075
41-45	Dark Pit	0.065	0.01	0.075
41-45	Luigi	0.075	0	0.075
46-49	Mewtwo	0.05	0.02	0.07
46-49	Incineroar	0.06	0.01	0.07
46-49	Cloud	0.06	0.01	0.07
46-49	Ridley	0.06	0.01	0.07
50	Mii Brawler	0.058	0.01	0.068
51	Zelda	0.055	0.01	0.065
52	Dr Mario	0.053536	0.007648	0.061184
53-59	Young Link	0.04	0.02	0.06
53-59	Charizard	0.05	0.01	0.06
53-59	Mii Swordfighter	0.05	0.01	0.06
53-59	Piranha Plant	0.05	0.01	0.06
53-59	Donkey Kong	0.05	0.01	0.06
53-59	Villager	0.05	0.01	0.06
53-59	Isabelle	0.05	0.01	0.06
60	Mii Gunner	0.043	0.01	0.053
61-71	Roy	0.03	0.02	0.05
61-71	Chrom	0.03	0.02	0.05
61-71	Bowser	0.04	0.01	0.05
61-71	Shulk	0.04	0.01	0.05
61-71	Dedede	0.04	0.01	0.05
61-71	Link	0.04	0.01	0.05
61-71	Ike	0.04	0.01	0.05
61-71	Corrin	0.04	0.01	0.05
61-71	Sonic	0.04	0.01	0.05
61-71	King K. Rool	0.04	0.01	0.05
61-71	Diddy Kong	0.05	0	0.05
72-73	Little Mac	0.03	0.01	0.04
72-73	Ganondorf	0.03	0.01	0.04
74-75	Ryu	0.025	0.01	0.035
74-75	Ken	0.025	0.01	0.035
76-78	Snake	0.02	0.01	0.03
76-78	Richter	0.02	0.01	0.03
76-78	Simon	0.02	0.01	0.03
